date,open,high,low,close,volume,diversity
2022-08-21 21:48:00,81373.0993,81373.0993,81391.6388,81391.6388,3.4206809999999996,9
2022-08-22 01:48:00,81391.6388,81391.6388,81411.1974,81411.1974,3.671875,9
2022-08-22 05:48:00,81411.1974,81411.1974,81429.7585,81429.7585,4.0,7
2022-08-22 09:48:00,81429.7585,81429.7585,81448.0607,81448.0607,3.431562,7
2022-08-22 13:48:00,81448.0607,81448.0607,81471.7025,81471.7025,2.691384,7
2022-08-22 17:48:00,81471.7025,81471.7025,81496.0709,81496.0709,3.089684,6
2022-08-22 21:48:00,81496.0709,81496.0709,81517.8022,81517.8022,3.0114339999999995,6
2022-08-23 01:48:00,81517.8022,81517.8022,81533.4252,81533.4252,2.4059999999999997,6
2022-08-23 05:48:00,81533.4252,81533.4252,81548.9091,81548.9091,2.64,5
2022-08-23 09:48:00,81548.9091,81548.9091,81563.0563,81563.0563,3.65125,5
2022-08-23 13:48:00,81563.0563,81563.0563,81582.6203,81582.6203,4.40263,6
2022-08-23 17:48:00,81582.6203,81582.6203,81607.2982,81607.2982,2.476843,8
2022-08-23 21:48:00,81607.2982,81607.2982,81631.4883,81631.4883,3.646826,5
2022-08-24 01:48:00,81631.4883,81631.4883,81652.7581,81652.7581,2.4015000000000004,3
2022-08-24 05:48:00,81652.7581,81652.7581,81676.5876,81676.5876,2.2883400000000003,4
2022-08-24 09:48:00,81676.5876,81676.5876,81701.3498,81701.3498,1.8456430000000001,4
2022-08-24 13:48:00,81701.3498,81701.3498,81717.321,81717.321,4.755881,6
2022-08-24 17:48:00,81717.321,81717.321,81732.0842,81732.0842,2.857892,7
2022-08-24 21:48:00,81732.0842,81732.0842,81746.2156,81746.2156,2.186751,9
2022-08-25 01:48:00,81746.2156,81746.2156,81758.1524,81758.1524,2.74838,7
2022-08-25 05:48:00,81758.1524,81758.1524,81768.4618,81768.4618,2.518704,7
2022-08-25 09:48:00,81768.4618,81768.4618,81779.1154,81779.1154,2.4507689999999998,9
2022-08-25 13:48:00,81779.1154,81779.1154,81799.082,81799.082,4.048496999999999,9
2022-08-25 17:48:00,81799.082,81799.082,81823.8566,81823.8566,6.3481819999999995,5
2022-08-25 21:48:00,81823.8566,81823.8566,81846.1814,81846.1814,3.7564260000000003,5
2022-08-26 01:48:00,81846.1814,81846.1814,81867.713,81867.713,2.5539999999999994,5
2022-08-26 05:48:00,81867.713,81867.713,81890.233,81890.233,2.424,5
2022-08-26 09:48:00,81890.233,81890.233,81905.6986,81905.6986,2.639158,5
2022-08-26 13:48:00,81905.6986,81905.6986,81905.6986,81905.6986,0.0,4
2022-08-26 17:53:00,81905.6986,81905.6986,81909.7787,81909.7787,0.562348,6
2022-08-26 21:53:00,81909.7787,81909.7787,81916.3949,81916.3949,10.114776,4
2022-08-27 01:53:00,81916.3949,81916.3949,81922.2761,81922.2761,12.302496000000001,3
2022-08-27 05:53:00,81922.2761,81922.2761,81925.7579,81925.7579,7.1784360000000005,4
2022-08-27 09:53:00,81925.7579,81925.7579,81925.7579,81925.7579,0.0,4
2022-08-27 13:53:00,81925.7579,81925.7579,81925.7579,81925.7579,0.0,4
2022-08-27 17:53:00,81925.7579,81925.7579,81925.7579,81925.7579,0.0,4
2022-08-27 21:53:00,81925.7579,81925.7579,81925.7579,81925.7579,0.0,4
2022-08-28 01:53:00,81925.7579,81925.7579,81925.7579,81925.7579,0.0,4
2022-08-28 05:53:00,81925.7579,81925.7579,81925.7579,81925.7579,0.0,4
2022-08-28 09:53:00,81925.7579,81925.7579,81925.7579,81925.7579,0.0,4
2022-08-28 13:53:00,81925.7579,81925.7579,81925.7579,81925.7579,0.0,4
2022-08-28 17:53:00,81925.7579,81925.7579,81925.7579,81925.7579,0.0,4
2022-08-28 21:53:00,81925.7579,81925.7579,81925.7579,81925.7579,0.0,4
2022-08-29 01:53:00,81925.7579,81925.7579,81925.7579,81925.7579,0.0,4
2022-08-29 05:53:00,81925.7579,81925.7579,81925.7579,81925.7579,0.0,4
2022-08-29 09:53:00,81925.7579,81925.7579,81925.7579,81925.7579,0.0,4
2022-08-29 13:53:00,81925.7579,81925.7579,81925.7579,81925.7579,0.0,4
2022-08-29 17:53:00,81925.7579,81925.7579,81925.7579,81925.7579,0.0,4
2022-08-29 21:53:00,81925.7579,81925.7579,81925.7579,81925.7579,0.0,4
2022-08-30 01:43:00,81925.7579,81922.3189,81926.9164,81926.9164,1.272,7
2022-08-30 05:43:00,81926.9164,81926.9164,81933.1288,81933.1288,1.4740000000000002,6
2022-08-30 09:43:00,81933.1288,81933.1288,81933.1288,81933.1288,0.0,6
2022-08-30 13:43:00,81933.1288,81933.1288,81933.1288,81933.1288,0.0,6
2022-08-30 17:43:00,81933.1288,81933.1288,81933.1288,81933.1288,0.0,6
2022-08-30 21:41:00,81933.1288,81933.1288,81949.3835,81949.3835,2.481292,8
2022-08-31 01:41:00,81949.3835,81949.3835,81980.922,81980.922,1.3821090000000003,5
2022-08-31 05:41:00,81980.922,81980.922,82017.2066,82017.2066,1.73,7
2022-08-31 09:41:00,82017.2066,82017.2066,82057.7124,82057.7124,3.5457330000000002,6
2022-08-31 13:38:00,82057.7124,82057.7124,82088.794,82088.794,5.408129000000001,7
2022-08-31 17:38:00,82088.794,82088.794,82105.8289,82105.8289,3.488296,6
2022-08-31 21:38:00,82105.8289,82105.8289,82119.9235,82119.9235,2.458924,7
2022-09-01 01:38:00,82119.9235,82119.9235,82137.141,82137.141,4.826998,6
2022-09-01 05:38:00,82137.141,82137.141,82151.0464,82151.0464,2.529482,9
2022-09-01 09:38:00,82151.0464,82151.0464,82163.3912,82163.3912,2.604913,9
2022-09-01 13:38:00,82163.3912,82163.3912,82179.7627,82179.7627,2.740842,11
2022-09-01 17:38:00,82179.7627,82179.7627,82207.0245,82207.0245,1.7508109999999997,7
2022-09-01 21:38:00,82207.0245,82207.0245,82228.6497,82228.6497,8.177212,12
2022-09-02 01:38:00,82228.6497,82228.6497,82254.4828,82254.4828,12.386572,9
2022-09-02 05:38:00,82254.4828,82254.4828,82284.091,82284.091,15.764000000000001,8
2022-09-02 09:38:00,82284.091,82284.091,82309.6043,82309.6043,8.816500000000001,8
2022-09-02 13:38:00,82309.6043,82309.6043,82332.4354,82332.4354,3.8773739999999997,10
2022-09-02 17:38:00,82332.4354,82332.4354,82350.2146,82350.2146,3.236227,5
2022-09-02 21:38:00,82350.2146,82350.2146,82372.039,82372.039,2.780117,5
2022-09-03 01:38:00,82372.039,82372.039,82396.3126,82396.3126,7.296207,7
2022-09-03 05:38:00,82396.3126,82396.3126,82421.7896,82421.7896,3.523784,5
2022-09-03 09:38:00,82421.7896,82421.7896,82448.4798,82448.4798,3.4067479999999994,5
2022-09-03 13:38:00,82448.4798,82448.4798,82467.7106,82467.7106,3.394526,5
2022-09-03 17:38:00,82467.7106,82467.7106,82488.7478,82488.7478,2.681108,5
2022-09-03 21:38:00,82488.7478,82488.7478,82509.3717,82509.3717,5.3775,5
2022-09-04 01:38:00,82509.3717,82509.3717,82532.6852,82532.6852,6.292496,5
2022-09-04 05:38:00,82532.6852,82532.6852,82559.7112,82559.7112,6.280624,5
2022-09-04 09:38:00,82559.7112,82559.7112,82585.8355,82585.8355,6.277295,4
